 (Half Day), (نیم روز)
Postal,پستی
Posting Date,تاریخ ارسال
Posting Date Time cannot be before,زمان ارسال نمی تواند قبل از
Posting Time,زمان ارسال
Posts,پست ها
Potential Sales Deal,قرارداد فروش بالقوه
Potential opportunities for selling.,فرصت های بالقوه برای فروش.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3",دقت برای زمینه های شناور (مقدار تخفیف، درصد و غیره). شناور خواهد شد به اعشار مشخص گرد از. پیش فرض = 3
Preferred Billing Address,آدرس صورتحساب مورد نظر
Preferred Shipping Address,حمل و نقل آدرس ترجیح
Prefix,پیشوند
Present,حال حاضر
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctype
Preview,پیش نمایش
Previous Work Experience,تجربه کار قبلی
Price List,لیست قیمت
Price List Currency,لیست قیمت ارز
Price List Currency Conversion Rate,لیست قیمت ارز نرخ تبدیل
Price List Exchange Rate,لیست قیمت نرخ ارز
Price List Master,کارشناسی ارشد لیست قیمت
Price List Name,نام لیست قیمت
Price List Rate,لیست نرخ قیمت
Price List Rate (Company Currency),لیست نرخ قیمت (شرکت واحد)
Price List for Costing,لیست قیمت برای هزینه
Primary,اولیه
Print Format,قالب چاپ
Print Format Style,قالب سبک چاپ
Print Format Type,چاپ نوع شکلبندی
Print Heading,عنوان نسخه قابل چاپ
Print Hide,عدم نمایش نسخه قابل چاپ
Print Width,عرض چاپ
Print Without Amount,بدون مقدار چاپ
Print...,چاپ...
Priority,اولویت
Private,خصوصی
Proceed to Setup,اقدام به راه اندازی
Process Payroll,روند حقوق و دستمزد
Produced Quantity,مقدار تولید
Product Enquiry,پرس و جو محصول
Production Order,سفارش تولید
Production Orders,سفارشات تولید
Production Orders in Progress,سفارشات تولید در حال انجام
Production Plan Item,تولید طرح مورد
Production Plan Items,موارد طرح تولیدی
Production Plan Sales Order,طرح تولید فروش سفارش
Production Plan Sales Orders,طرح تولید فروش سفارشات
Production Planning (MRP),تولید برنامه ریزی (لوازم)
Production Planning Tool,ابزار برنامه ریزی تولید
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",محصولات سن وزن در جستجوی پیش فرض مرتب خواهد شد. بیشتر وزن-سن بالاتر محصول در لیست ظاهر می شود.
Profile,مشخصات
Profile Defaults,پروفایل پیش فرض
Profile Represents a User in the system.,مشخصات کاربر در سیستم نشان دهنده.
Profile of a Blogger,مشخصات یک وبلاگ نویس
Project,پروژه
Project Costing,پروژه هزینه
Project Details,جزئیات پروژه
Project Milestone,نقطه عطف پروژه
Project Milestones,نقاط عطف پروژه
Project Name,نام پروژه
Project Start Date,تاریخ شروع پروژه
Project Type,نوع پروژه
Project Value,ارزش پروژه
Project activity / task.,پروژه فعالیت \/ کار.
Project master.,پروژه کارشناسی ارشد.
Project will get saved and will be searchable with project name given,پروژه ذخیره کنید و با نام پروژه داده قابل جستجو می باشد
Project wise Stock Tracking,پروژه ردیابی عاقلانه سهام
Projected Qty,تعداد پیش بینی
Projects,پروژه ها
Prompt for Email on Submission of,اعلام آمادگی برای ایمیل در ارسال
Properties,خواص
Property,ملک
Property Setter,ملک گذارنده
Property Setter overrides a standard DocType or Field property,ملک گذارنده نمودید، استاندارد DocType یا زمینه اموال
Property Type,نوع ملک
Provide email id registered in company,ارائه ایمیل ثبت شده در شرکت
Public,عمومی
Published,منتشر شده
Published On,منتشر شده در
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,ایمیل را از صندوق پستی بکشید و آنها را به عنوان سوابق ارتباطات (برای مخاطبین شناخته شده) پیوست.
Pull Payment Entries,جلو و پرداخت ها
Pull sales orders (pending to deliver) based on the above criteria,جلو سفارشات فروش (مشروط به ارائه) بر اساس معیارهای بالا
Purchase,خرید
Purchase / Manufacture Details,خرید \/ ساخت جزئیات
Purchase Analytics,تجزیه و تحلیل خرید
Purchase Common,خرید مشترک
Purchase Details,جزئیات خرید
Purchase Discounts,تخفیف خرید
Purchase In Transit,خرید در حمل و نقل
Purchase Invoice,فاکتور خرید
Purchase Invoice Advance,پیش فاکتور خرید
Purchase Invoice Advances,خرید فاکتور پیشرفت
Purchase Invoice Item,خرید فاکتور مورد
Purchase Invoice Trends,روند فاکتور خرید
Purchase Order,سفارش خرید
Purchase Order Date,تاریخ سفارش خرید
Purchase Order Item,مورد سفارش خرید
Purchase Order Item No,هیچ مورد سفارش خرید
Purchase Order Item Supplied,عرضه مورد سفارش خرید
Purchase Order Items,موارد سفارش خرید
Purchase Order Items Supplied,سفارش خرید اقلام عرضه شده
Purchase Order Items To Be Billed,خرید اقلام سفارش به صورتحساب
Purchase Order Items To Be Received,خرید اقلام سفارش دریافت می شود
Purchase Order Message,پیام سفارش خرید
Purchase Order Required,سفارش خرید مورد نیاز
Purchase Order Trends,روند سفارش خرید
Purchase Order sent by customer,سفارش خرید توسط مشتری ارسال
Purchase Orders given to Suppliers.,سفارشات خرید به تامین کنندگان داده می شود.
Purchase Receipt,رسید خرید
Purchase Receipt Item,خرید مورد رسید
Purchase Receipt Item Supplied,عرضه خرید مورد رسید
Purchase Receipt Item Supplieds,خرید دریافت Supplieds مورد
Purchase Receipt Items,خرید اقلام رسید
Purchase Receipt Message,خرید رسیدی
Purchase Receipt No,خرید بدون رسید
Purchase Receipt Required,رسید لازم خرید
Purchase Receipt Trends,روند دریافت خرید
Purchase Register,ثبت نام خرید
Purchase Return,بازگشت خرید
Purchase Returned,خرید بازگشت
Purchase Taxes and Charges,مالیات خرید و اتهامات
Purchase Taxes and Charges Master,مالیات خرید و هزینه های کارشناسی ارشد
Purpose,هدف
Purpose must be one of ,هدف باید یکی از
Python Module Name,نام ماژول پایتون
QA Inspection,بازرسی QA
QAI/11-12/,QAI\/11-12 \/
QTN,QTN
Qty,تعداد
Qty Consumed Per Unit,تعداد مصرف هر واحد
Qty To Manufacture,تعداد به تولید
Qty as per Stock UOM,تعداد عنوان سهام UOM
Qualification,مدرک تحصیلی
Quality,کیفیت
Quality Inspection,بازرسی کیفیت
Quality Inspection Parameters,پارامترهای بازرسی کیفیت
Quality Inspection Reading,خواندن بازرسی کیفیت
Quality Inspection Readings,خوانش کیفیت بازرسی
Quantity,مقدار
Quantity Requested for Purchase,مقدار درخواستی برای خرید
